Counter,Ref Num,Row Num,id,Rep Text,Link,Main Text,Cleaned Text,Subject,Query,Reference Published Date,Who Published?,Reference Name,Access Date,Reference Text,Reference URL,state
1,1,,,,,,,,,,,,,,,N
1,2,,,,,,,,,,,,,,,N
1,3,,,,,,,,,,,,,,,N
2,1,,,,,,,,,,,,,,,N
2,2,,,,,,,,,,,,,,,N
2,3,,,,,,,,,,,,,,,N
3,1,,538,,https://t.me/mafakhernaein/538,ثبت‌نام ۱۶۸۹ نفر در انتخابات مجلس و ۲۴۰ نفر در انتخابات خبرگان رئیس ستاد انتخابات کشور از ثبت‌نام ۲۴۰ نفر در انتخابات خبرگان و ۱۶۸۹ در انتخابات مجلس خبر داد.,ثبت‌نام ۱۶۸۹ نفر در انتخابات مجلس و ۲۴۰ نفر در انتخابات خبرگان رئیس ستاد انتخابات کشور از ثبت‌نام ۲۴۰ نفر در انتخابات خبرگان و ۱۶۸۹ در انتخابات مجلس خبر داد.,انتخابات مجلس,ثبت‌نام ۱۶۸۹ نفر در انتخابات مجلس و ۲۴۰ نفر در انتخابات خبرگان رئیس ستاد انتخابات کشور از ثبت‌نام ۲۴۰ نفر در انتخابات خبرگان و ۱۶۸۹ در انتخابات مجلس خبر داد.,۱۳۹۴/۱۰/۱,میانا,تسنیم,۱۳۹۷/۲/۲۸,به گزارش میانا به نقل از تسنیم ، محمدحسین مقیمی رئیس ستاد انتخابات کشور آخرین آمار ثبت‌نام کنندگان کاندیداهای مجلس شورای اسلامی را ۱۶۸۹ نفر عنوان کرد و گفت: از این تعداد ۱۰۵ نفر کاندیدای زن هستند. وی افزود: ۲۴۰ نفر کاندیداهای خبرگان نیز تا آخرین ساعت ثبت‌نام در روز گذشته نام‌نویسی کرده بودند که ۴ نفر زن و مابقی مرد هستند. رئیس ستاد انتخابات اظهار داشت: بیشترین آمار ثبت‌نام کنندگان در مجلس مربوط به شهر تهران و در خبرگان مربوط به قم و تهران است.,http://miana.ir/?p=37839,V
3,2,,538,,https://t.me/mafakhernaein/538,ثبت‌نام ۱۶۸۹ نفر در انتخابات مجلس و ۲۴۰ نفر در انتخابات خبرگان رئیس ستاد انتخابات کشور از ثبت‌نام ۲۴۰ نفر در انتخابات خبرگان و ۱۶۸۹ در انتخابات مجلس خبر داد.,ثبت‌نام ۱۶۸۹ نفر در انتخابات مجلس و ۲۴۰ نفر در انتخابات خبرگان رئیس ستاد انتخابات کشور از ثبت‌نام ۲۴۰ نفر در انتخابات خبرگان و ۱۶۸۹ در انتخابات مجلس خبر داد.,انتخابات مجلس,ثبت‌نام ۱۶۸۹ نفر در انتخابات مجلس و ۲۴۰ نفر در انتخابات خبرگان رئیس ستاد انتخابات کشور از ثبت‌نام ۲۴۰ نفر در انتخابات خبرگان و ۱۶۸۹ در انتخابات مجلس خبر داد.,۱۳۹۴/۹/۳۰,خبرگزاری شبستان,خبرگزاری شبستان,۱۳۹۷/۲/۲۸,به گزارش خبرنگار سیاسی خبرگزاری شبستان مستقر در ستاد انتخابات کشور، محمدحسین مقیمی رئیس ستاد انتخابات کشور صبح امروز در اولین ساعت سومین روز نام نویسی از داوطلبین شرکت در انتخابات مجلس شورای اسلامی و پنجمین روز ثبت نام نفرات انتخابات خبرگان رهبری در جمع خبرنگاران آخرین آمار تعداد ثبت نام کنندگان در سراسر کشور را اعلام کرد. وی گفت: تا این لحظه ۲۴۰ نفر در سراسر کشور برای حضور در پنجمین دوره انتخابات مجلس خبرگان رهبری و ۱۶۸۹ داوطلب برای شرکت در دهمین دوره انتخابات مجلس شورای اسلامی نام نویسی کرده اند. مقیمی همچنین اعلام کرد: ۱۰۵ زن تا کنون در بین ثبت نام کنندگان انتخابات مجلس شورای اسلامی و ۴ زن در میان نام نویسان انتخابات مجلس خبرگان رهبری حضور دارند.,http://www.shabestan.ir/detail/News/509209,V
3,3,,538,,https://t.me/mafakhernaein/538,ثبت‌نام ۱۶۸۹ نفر در انتخابات مجلس و ۲۴۰ نفر در انتخابات خبرگان رئیس ستاد انتخابات کشور از ثبت‌نام ۲۴۰ نفر در انتخابات خبرگان و ۱۶۸۹ در انتخابات مجلس خبر داد.,ثبت‌نام ۱۶۸۹ نفر در انتخابات مجلس و ۲۴۰ نفر در انتخابات خبرگان رئیس ستاد انتخابات کشور از ثبت‌نام ۲۴۰ نفر در انتخابات خبرگان و ۱۶۸۹ در انتخابات مجلس خبر داد.,انتخابات مجلس,ثبت‌نام ۱۶۸۹ نفر در انتخابات مجلس و ۲۴۰ نفر در انتخابات خبرگان رئیس ستاد انتخابات کشور از ثبت‌نام ۲۴۰ نفر در انتخابات خبرگان و ۱۶۸۹ در انتخابات مجلس خبر داد.,۱۳۹۴/۹/۳۰,خبر آنلاین,ایلنا,۱۳۹۷/۲/۲۸,ایلنا نوشت: رئیس ستاد انتخابات کشور از ثبت‌نام ۲۴۰ نفر در انتخابات خبرگان و ۱۶۸۹ در انتخابات مجلس خبر داد. محمدحسین مقیمی درجمع خبرنگاران صبح امروز در پنجمین روز از ثبت‌نام انتخابات خبرگان رهبری و سومین روز از دهمین دوره انتخابات مجلس شورای اسلامی به ارائه آخرین آمار داوطلبان پرداخت. معاون وزیر کشور گفت: تاکنون ۲۴۰ نفر در انتخابات خبرگان و ۱۶۸۹ نفر در انتخابات مجلس اقدام به نام‌نویسی کرده‌اند. رئیس ستاد انتخابات کشور گفت: در میان مراجعه کنندگان انتخابات خبرگان رهبری از میان ۲۴۰ داوطلب تاکنون ۱۸۲ نفر ثبت‌نامشان تکمیل و ۵۸ نفر در حال تکمیل مدارک خود هستند. وی بیان داشت: از میان ثبت‌نام کنندگان انتخابات خبرگان ۴ نفر زن ثبت‌نام و ۱۰۵ نفر هم زن در انتخابات مجلس شورای اسلامی اقدام به نام‌نویسی کردند.,https://www.khabaronline.ir/detail/490899/Politics/election,V
4,1,,1768,,https://t.me/bazarsaham/1768,دستور آغاز انتخابات از ۸ اسفند ماه رئیس ستاد انتخابات کشور: 🔹دستور شروع انتخابات برای ثبت‌نام از داوطلبان انتخابات میان‌دوره مجلس از ۸ اسفند ۹۵ و برای انتخابات شوراها از ۳۰ اسفندماه و شروع ثبت‌نام انتخابات ریاست جمهوری از ۲۲ فروردین ۹۶ خواهد بود.,دستور آغاز انتخابات از ۸ اسفند ماه رئیس ستاد انتخابات کشور: دستور شروع انتخابات برای ثبت‌نام از داوطلبان انتخابات میان‌دوره مجلس از ۸ اسفند ۹۵ و برای انتخابات شوراها از ۳۰ اسفندماه و شروع ثبت‌نام انتخابات ریاست جمهوری از ۲۲ فروردین ۹۶ خواهد بود.,انتخابات ریاست جمهوری,شروع نام نویسی انتخابات ۹۶,۱۳۹۵/۵/۱۲,مشرق نیوز,مشرق نیوز,۱۳۹۷/۲/۲۸,"به گزارش مشرق، بعد از آنکه وزارت کشور در نامه ای به شورای نگهبان پیشنهاد داد زمان برگزاری انتخابات ۹۶ بدلیل مقارن شدن با ماه مبارک رمضان به زمان دیگری موکول شود، این شورای در جلسه امروز خود با برگزاری انتخابات در ۲۹ اردیبهشت موافقت کرد. محمد حسین مقیمی رئیس ستاد انتخابات کشور از اعلام تقویم زمان‌بندی انتخابات ریاست‌جمهوری در آبان‌ماه سال جاری خبر داد. وی افزود:‌ بنای وزارت کشور و شخص وزیر کشور این است که از آبان‌ یا آذرماه ضمن ارائه تقویم زمان‌بندی انتخابات، امورات مربوط به انتخابات نیز آغاز شود. رئیس ستاد انتخابات کشور در پاسخ به این سؤال ""چه‌زمانی را برای ثبت‌نام داوطلبان انتخابات ریاست‌جمهوری پیش‌بینی کرده‌اید؟"" اظهار داشت:‌ تمامی سناریوها و برنامه‌ریزی‌ها انجام شده، اما بنای وزارت کشور این است که از آبان‌ماه وارد فرآیند انتخابات شویم و همان موقع هم زمان‌بندی انتخابات و زمان ثبت‌نام‌ را اعلام خواهیم کرد. بر اساس تغیییرات انجام شده و مطابق با جدول زمان بندی انتخابات در سنوات گذشته، انتخابات ریاست جمهوری سال آینده ۲۶ روز زودتر از موعد مقرر (۲۴ خرداد) برگزار خواهد شد. بر همین اساس آغاز نام نویسی از داوطلبان نامزدی انتخابات ریاست جمهوری احتمالا از دهه سوم (بیست و دوم) فروردین ماه آغاز می شود و به مدت پنج روز ادامه می یابد. بر اساس این جدول کاری، هیئت های اجرایی انتخابات نیز از روز آغاز ثبت نام به مدت سه روز در سراسر کشور تشکیل می شوند. رسیدگی به صلاحیت داوطلبان نامزدی انتخابات در شورای نگهبان قانون اساسی از فردای پایان مهلت ثبت نام ها به مدت پنج روز آغاز می شود که احتمالا اول اردیبهشت ماه رسیدگی به صلاحیت نامزدها به پایان خواهد رسید. سپس به مدت ۵ روز شورای نگهبان به اعتراض احتمالی داوطلبانی که صلاحیتشان احراز نشده است رسیدگی خواهد کرد. بعد از این مرحله وزارت کشور از ششم اردیبهشت، اسامی نامزدهای احراز صلاحیت شده انتخابات ریاست جمهوری را اعلام می کند. مدت تبلیغات انتخاباتی نیز از هفتم اردبیهشت به مدت ۲۰ روزآغاز می شود و تبلیغات انتخاباتی نامزدها در روز ۲۸ خرداد ممنوع است. اخذ رای مردم برای انتخابات یازدهمین دوره ریاست جمهوری از صبح روز ۲۹ اردیبهشت آغاز خواهد شد",https://www.mashreghnews.ir/news/611957/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D8%B2%D9%85%D8%A7%D9%86-%D8%A8%D9%86%D8%AF%DB%8C-%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA-96-%D8%A2%D8%BA%D8%A7%D8%B2-%D8%AA%D8%A8%D9%84%DB%8C%D8%BA%D8%A7%D8%AA-%D8%B1%DB%8C%D8%A7%D8%B3%D8%AA-%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C-%D8%A7%D8%B2,V
