Counter,Ref Num,Row Num,id,Rep Text,Link,Main Text,Cleaned Text,Subject,Query,Reference Published Date,Who Published?,Reference Name,Access Date,Reference Text,Reference URL,State
1,1,103,1747,@dr_davari 🔻از شکست توییتری هاشمی رفسنجانی تا شکست راهبردی دولت یازدهم 1- همگرایی راهبردی با امریکا ، راهبرد اصلی دولت یازدهم است. 2- دولت یازدهم طی سی ماه اخیر- در مسیر این راهبرد- به هیئت حاکمه امریکا القا کرده بود که کلید قدرت ایران در اختیار بلوک قدرت هاشمی-روحانی است. 3-واکنش انفعالی اکبرهاشمی رفسنجانی دربرابر تذکر جدی رهبرانقلاب و تکذیبیه مضحک توییتری وی، هیمنه پوشالی قدرت بلوک هاشمی-روحانی را در داخل وخارج از ایران فروریخت. 4- با رونمایی از سطح واقعی قدرت بلوک هاشمی-روحانی، طرف غربی و به,https://t.me/abarkouh1386/1747,,,,,,,,,,,N
1,2,103,1747,@dr_davari 🔻از شکست توییتری هاشمی رفسنجانی تا شکست راهبردی دولت یازدهم 1- همگرایی راهبردی با امریکا ، راهبرد اصلی دولت یازدهم است. 2- دولت یازدهم طی سی ماه اخیر- در مسیر این راهبرد- به هیئت حاکمه امریکا القا کرده بود که کلید قدرت ایران در اختیار بلوک قدرت هاشمی-روحانی است. 3-واکنش انفعالی اکبرهاشمی رفسنجانی دربرابر تذکر جدی رهبرانقلاب و تکذیبیه مضحک توییتری وی، هیمنه پوشالی قدرت بلوک هاشمی-روحانی را در داخل وخارج از ایران فروریخت. 4- با رونمایی از سطح واقعی قدرت بلوک هاشمی-روحانی، طرف غربی و به,https://t.me/abarkouh1386/1747,,,,,,,,,,,N
1,3,103,1747,@dr_davari 🔻از شکست توییتری هاشمی رفسنجانی تا شکست راهبردی دولت یازدهم 1- همگرایی راهبردی با امریکا ، راهبرد اصلی دولت یازدهم است. 2- دولت یازدهم طی سی ماه اخیر- در مسیر این راهبرد- به هیئت حاکمه امریکا القا کرده بود که کلید قدرت ایران در اختیار بلوک قدرت هاشمی-روحانی است. 3-واکنش انفعالی اکبرهاشمی رفسنجانی دربرابر تذکر جدی رهبرانقلاب و تکذیبیه مضحک توییتری وی، هیمنه پوشالی قدرت بلوک هاشمی-روحانی را در داخل وخارج از ایران فروریخت. 4- با رونمایی از سطح واقعی قدرت بلوک هاشمی-روحانی، طرف غربی و به,https://t.me/abarkouh1386/1747,,,,,,,,,,,N
2,1,104,4057,🌞 ✔ دفتر آیت,https://t.me/yarane_jami/4057,"✔️ دفتر آیت الله مکارم شیرازی خبر تحریم سود بانکی توسط وی را تکذیب کرد. در متن تکذیبیه آمده است:🔻 "" سودهای بانکی که به وسیله عقود اسلامی به دست می آید هم برای مردم و هم برای بانک حلال است. آنچه معظم له در آن اشکال کرده اند جریمه دیرکرد است که امیدواریم بانک ها هر چه زودتر در آن تجدید نظر کنند.""","دفتر آیت الله مکارم شیرازی خبر تحریم سود بانکی توسط وی را تکذیب کرد. در متن تکذیبیه آمده است: "" سودهای بانکی که به وسیله عقود اسلامی به دست می آید هم برای مردم و هم برای بانک حلال است. آنچه معظم له در آن اشکال کرده اند جریمه دیرکرد است که امیدواریم بانک ها هر چه زودتر در آن تجدید نظر کنند.""",تحریم سود بانکی,آیت الله مکارم شیرازی خبر تحریم سود بانکی را تکذیب کرد,۱۵/۰۱/۱۳۹۵,تی نیوز,پایگاه ۵۹۸,۲۳/۰۱/۱۳۹۷,به گزارش پایگاه 598، دفتر آیت‌الله مکارم شیرازی اعلام کرد: در بعضی از سایت ها از قول آیت الله مکارم شیرازی نقل کرده اند که معظم له هرگونه سود بانکی را تحریم کرده اند؛ این سخن کذب محض است. سودهای بانکی که به وسیله عقود اسلامی به دست می آید هم برای مردم و هم برای بانک حلال است؛ آنچه معظم له در آن اشکال کرده اند جریمه دیرکرد است که امیدواریم بانک ها هر چه زودتر در آن تجدید نظر کنند.,http://tnews.ir/news/fae760188407.html,V
2,2,104,4057,🌞 ✔ دفتر آیت,https://t.me/yarane_jami/4057,"✔️ دفتر آیت الله مکارم شیرازی خبر تحریم سود بانکی توسط وی را تکذیب کرد. در متن تکذیبیه آمده است:🔻 "" سودهای بانکی که به وسیله عقود اسلامی به دست می آید هم برای مردم و هم برای بانک حلال است. آنچه معظم له در آن اشکال کرده اند جریمه دیرکرد است که امیدواریم بانک ها هر چه زودتر در آن تجدید نظر کنند.""","دفتر آیت الله مکارم شیرازی خبر تحریم سود بانکی توسط وی را تکذیب کرد. در متن تکذیبیه آمده است: "" سودهای بانکی که به وسیله عقود اسلامی به دست می آید هم برای مردم و هم برای بانک حلال است. آنچه معظم له در آن اشکال کرده اند جریمه دیرکرد است که امیدواریم بانک ها هر چه زودتر در آن تجدید نظر کنند.""",تحریم سود بانکی,آیت الله مکارم شیرازی خبر تحریم سود بانکی را تکذیب کرد,۱۶/۰۱/۱۳۹۵,اقتصاد نیوز,ایرنا,۲۳/۰۱/۱۳۹۷,دفتر آیت الله ناصر مکارم شیرازی از مراجع تقلید در بیانیه ای اخبار برخی سایت های خبری پیرامون تحریم سود بانکی توسط این مرجع تقلید را تکذیب کرد. در این بیانیه که روز یکشنبه در پایگاه اطلاع رسانی آیت الله مکارم شیرازی منتشر شد آمده است: در برخی از سایت های خبری از قول آیت الله مکارم شیرازی نقل شده است که معظم له هرگونه سود بانکی را تحریم کرده اند و این سخن کذب محض است. دفتر آیت الله مکارم شیرازی در سایت رسمی این مرجع تقلید اعلام کرد: سودهای بانکی که به وسیله عقود اسلامی به دست می آید هم برای مردم و هم برای بانک حلال است؛ آنچه معظم له در آن اشکال کرده اند جریمه دیرکرد است، که امیدواریم بانک ها هر چه زودتر در آن تجدید نظر کنند. بر اساس این گزارش، در برخی از سایت های خبری از قول آیت الله مکارم شیرازی نقل شده است که معظم له هرگونه سود بانکی را تحریم کرده است.,https://www.eghtesadnews.com/%D8%A8%D8%AE%D8%B4-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-45/140812-%D8%A2%DB%8C%D8%AA-%D8%A7%D9%84%D9%84%D9%87-%D9%85%DA%A9%D8%A7%D8%B1%D9%85-%D8%B3%D9%88%D8%AF-%D8%A8%D8%A7%D9%86%DA%A9%DB%8C-%D8%B1%D8%A7-%D8%AA%D8%AD%D8%B1%DB%8C%D9%85-%D9%86%DA%A9%D8%B1%D8%AF%D9%87-%D8%A7%D8%B3%D8%AA,V
2,3,104,4057,🌞 ✔ دفتر آیت,https://t.me/yarane_jami/4057,"✔️ دفتر آیت الله مکارم شیرازی خبر تحریم سود بانکی توسط وی را تکذیب کرد. در متن تکذیبیه آمده است:🔻 "" سودهای بانکی که به وسیله عقود اسلامی به دست می آید هم برای مردم و هم برای بانک حلال است. آنچه معظم له در آن اشکال کرده اند جریمه دیرکرد است که امیدواریم بانک ها هر چه زودتر در آن تجدید نظر کنند.""","دفتر آیت الله مکارم شیرازی خبر تحریم سود بانکی توسط وی را تکذیب کرد. در متن تکذیبیه آمده است: "" سودهای بانکی که به وسیله عقود اسلامی به دست می آید هم برای مردم و هم برای بانک حلال است. آنچه معظم له در آن اشکال کرده اند جریمه دیرکرد است که امیدواریم بانک ها هر چه زودتر در آن تجدید نظر کنند.""",تحریم سود بانکی,آیت الله مکارم شیرازی خبر تحریم سود بانکی را تکذیب کرد,۱۵/۰۱/۱۳۹۵,قم نیوز,قم نیوز,۲۳/۰۱/۱۳۹۷,به گزارش قم نیوز، پایگاه اطلاع رسانی آیت الله مکارم شیرازی مرجع تقلید شیعیان نقل قول برخی رسانه ها از این مرجع تقلید مبنی بر حرام بودن سودهای بانکی را تکذیب کرد. در این پیام آمده است: در بعضی از سایت ها از قول حضرت آیت الله العظمی مکارم شیرازی نقل کرده اند که معظم له هرگونه سود بانکی را تحریم کرده اند، این سخن کذب محض است؛ سودهای بانکی که به وسیله عقود اسلامی به دست می آید هم برای مردم و هم برای بانک حلال است. آنچه معظم له در آن اشکال کرده اند جریمه دیرکرد است که امیدواریم بانک ها در آن هر چه زودتر تجدید نظر کنند. همچنین پیش از این نظر برخی دیگر از مراجع عظام تقلید در خصوص سودهای بانکی در دیدار نوروزی با شهردار و مدیران شهرداری قم از رسانه ها منتشر شده بود. آیت الله سبحانی در این خصوص با تأکید بر اینکه سود بانکی مصداق ربا است، اظهارداشتند: پرداختن و گرفتن سود بانکی اشکال دارد. متن کامل خبر را از اینجا پیگیری کنید. آیت الله جوادی آملی نیز در این دیدار نوروزی و در این مورد یادآور شدند: حقوق کارمندان بانک‌های ربوی حرام است زیرا حقوق حلال در برابر کار حلال گرفته می‌شود؛ هزاران تن علف از برزیل با کشتی وارد ایران شده است در صورتی که می‌توان با دوری از اختلاس‌ها و دزدی‌ها از سرمایه‌های گسترده نظام اسلامی استفاده مطلوب کرده و مشکل بیکاری و اقتصاد را کاهش دهیم. متن کامل خبر را از اینجا پیگیری کنید.,http://www.qomnews.ir/news/37528/%D8%A2%DB%8C%D8%AA-%D8%A7%D9%84%D9%84%D9%87-%D9%85%DA%A9%D8%A7%D8%B1%D9%85-%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2%DB%8C-%D8%B3%D9%88%D8%AF-%D8%A8%D8%A7%D9%86%DA%A9%DB%8C-%D8%AD%D8%B1%D8%A7%D9%85-%D9%86%DB%8C%D8%B3%D8%AA,V
3,1,105,13472,این هم تکذیبیه محمد البخیتی عضو شورای سیاسی انصارالله😊,https://t.me/Amarioon786/13472,,,,,,,,,,,N
3,2,105,13472,این هم تکذیبیه محمد البخیتی عضو شورای سیاسی انصارالله😊,https://t.me/Amarioon786/13472,,,,,,,,,,,N
3,3,105,13472,این هم تکذیبیه محمد البخیتی عضو شورای سیاسی انصارالله😊,https://t.me/Amarioon786/13472,,,,,,,,,,,N
4,1,106,370,اگه دروغه اصلش رو از همون آقای قاضی,https://t.me/farshadforoozesh/370,,,,,,,,,,,N
